model,dataset,iteration,auc,metric
xlm-roberta-large,gov-ai,3,0.38953866283740557,binary_auc
m2v-dfm-large,gov-ai,1,0.36736945261363674,binary_auc
model2vecdk-stem,gov-ai,2,0.5114467781697001,binary_auc
xlm-roberta-base,gov-ai,0,0.3896028634656437,binary_auc
xlm-roberta-base,gov-ai,4,0.38651542874143935,binary_auc
text-embedding-ada-002,gov-ai,9,0.7460082711342342,binary_auc
Qwen3-Embedding-Scandi-0.6B,gov-ai,0,0.7568396026140896,binary_auc
multilingual-e5-large,gov-ai,0,0.5758397611730167,binary_auc
LaBSE,gov-ai,9,0.6465899365756879,binary_auc
xlm-roberta-large,gov-ai,8,0.3984859459267408,binary_auc
M2V_base_glove,gov-ai,4,0.6307588641008338,binary_auc
text-embedding-ada-002,gov-ai,3,0.7392054336702824,binary_auc
M2V_base_glove,gov-ai,8,0.6211576113179285,binary_auc
multilingual-e5-base,gov-ai,1,0.565174837861321,binary_auc
potion-base-2M,gov-ai,5,0.6651613006869503,binary_auc
mmBERTscandi-base-embedding,gov-ai,0,0.8533853877261286,binary_auc
EmbeddingGemma-Scandi-300m,gov-ai,4,0.7926610860435459,binary_auc
potion-base-4M,gov-ai,9,0.7073388115531494,binary_auc
model2vecdk-stem,gov-ai,5,0.5064753445019156,binary_auc
Qwen3-Embedding-0.6B,gov-ai,1,0.7970375638105632,binary_auc
text-embedding-3-large,gov-ai,6,0.7622484100018366,binary_auc
potion-base-2M,gov-ai,4,0.6673389189360527,binary_auc
multilingual-e5-base,gov-ai,9,0.5773952060336737,binary_auc
M2V_base_output,gov-ai,3,0.5384275517440237,binary_auc
model2vecdk-stem,gov-ai,6,0.5086218001672654,binary_auc
text-embedding-3-large,gov-ai,7,0.7524442641325827,binary_auc
xlm-roberta-base,gov-ai,1,0.3946532462401953,binary_auc
xlm-roberta-base,gov-ai,7,0.39889228686041633,binary_auc
text-embedding-3-large,gov-ai,3,0.7508049162439893,binary_auc
xlm-roberta-large,gov-ai,5,0.40369561955571526,binary_auc
multilingual-e5-large-instruct,gov-ai,4,0.7886427296540034,binary_auc
m2v-dfm-large,gov-ai,6,0.36329795585308766,binary_auc
multilingual-e5-base,gov-ai,5,0.5754734628427369,binary_auc
M2V_base_glove_subword,gov-ai,6,0.6284070852261572,binary_auc
model2vecdk,gov-ai,6,0.5761559879115525,binary_auc
static-similarity-mrl-multilingual-v1,gov-ai,5,0.6266941971390522,binary_auc
text-embedding-ada-002,gov-ai,4,0.743938183607374,binary_auc
snowflake-arctic-embed-l-v2.0,gov-ai,4,0.6505637508319876,binary_auc
dfm-sentence-encoder-large,gov-ai,3,0.6612734155111203,binary_auc
paraphrase-multilingual-mpnet-base-v2,gov-ai,8,0.80725191305295,binary_auc
multilingual-e5-large,gov-ai,8,0.592533602440819,binary_auc
M2V_base_output,gov-ai,2,0.5284858858096031,binary_auc
dfm-sentence-encoder-large,gov-ai,6,0.6734304875822867,binary_auc
nb-sbert-base,gov-ai,5,0.6851155291967734,binary_auc
static-similarity-mrl-multilingual-v1,gov-ai,7,0.6231479362756602,binary_auc
Qwen3-Embedding-0.6B,gov-ai,5,0.7914315660325357,binary_auc
