dataset,seed,user_id,statement_id,x_normalised,y_normalised
rai,11,G_coords,29,0.24041925974451359,0.5220009263547939
rai,2,H_coords,841,0.28373382624768945,0.33696145124716553
rai,11,B_coords,265,0.31877394636015327,0.853551912568306
rai,19,E_coords,603,0.23234421364985164,0.26851851851851855
rai,20,A_coords,551,0.2150753768844221,0.513902205177373
rai,12,A_coords,694,0.29822294022617124,0.22803823395539372
welfare,5,B_coords,1041,0.7061855670103093,0.4498031496062992
rai,4,G_coords,743,0.7767457860337117,0.24811652435961828
rai,8,D_coords,80,0.8292282430213465,0.3988439306358382
welfare,12,E_coords,929,0.8719560094265515,0.4805343511450382
rai,11,G_coords,321,0.8932197838191942,0.37193144974525244
welfare,4,A_coords,1166,0.852436323366556,0.4690265486725664
welfare,6,B_coords,1115,0.39303818857722206,0.5071469411092052
rai,26,H_coords,8,0.7169996724533246,0.7167656464138876
welfare,12,E_coords,1105,0.634459282534695,0.33244274809160307
welfare,3,H_coords,935,0.17534430634867315,0.1583880037488285
rai,16,B_coords,767,0.4549778059606848,0.5940548072457037
rai,17,A_coords,796,0.1725516322451699,0.8042572882924572
rai,25,G_coords,50,0.5347115087935822,0.19564209550301345
rai,27,H_coords,141,0.44288659793814433,0.4692493946731235
rai,11,G_coords,38,0.6737635113003603,0.37517369152385366
welfare,11,H_coords,1214,0.41501263081919887,0.8703448275862069
rai,18,B_coords,81,0.6631805598277453,0.15432098765432098
rai,8,D_coords,509,0.23251231527093597,0.2023121387283237
welfare,10,G_coords,1124,0.6142297650130548,0.7618621307072516
welfare,12,E_coords,1227,0.35847080387536007,0.20381679389312976
welfare,12,E_coords,961,0.5640219952867243,0.8305343511450382
rai,17,H_coords,384,0.7292443239579803,0.39506769825918764
welfare,6,E_coords,1117,0.574487895716946,0.3955026455026455
welfare,5,B_coords,875,0.23367697594501718,0.7760826771653543
rai,29,E_coords,194,0.35947492426792327,0.05902606984751599
welfare,29,E_coords,966,0.4555785123966942,0.24294354838709678
rai,12,A_coords,333,0.5147011308562197,0.11197086936731906
rai,14,E_coords,743,0.5506883604505632,0.0708803611738149
welfare,8,D_coords,1145,0.07238781526367508,0.1328
welfare,10,G_coords,1126,0.9552872062663186,0.594449418084154
rai,4,D_coords,225,0.8549323017408124,0.4770088248954947
