source,experiment,n_models,spearman,ci_lo,ci_hi
OurExercise,policy,32,0.8969941348973607,0.7766755468665413,0.9527437302522582
MMTEB,policy,32,0.563049853372434,0.19870771751845656,0.7826486000106532
OurExercise,gov-ai,32,0.8365102639296186,0.7179062482072309,0.9077994441915349
MMTEB,gov-ai,32,0.5773460410557184,0.13372456093417567,0.7837213267395163
