model,dataset,difficulty,statistic,auc_mean,ci_lo,ci_hi
static-similarity-mrl-multilingual-v1,rai,Easy ($d$: top 20%),Best,0.22949389433044692,0.20820921332491474,0.26617880963700424
Qwen3-Embedding-Scandi-0.6B,welfare,Hard ($d$: bottom 20%),Worst,-0.019125738017100376,-0.03434181627351001,-0.003799879232393626
dfm-sentence-encoder-large,rai,Hard ($d$: bottom 20%),Worst,0.02950830384867171,0.017232283983965636,0.03949581510066727
nb-sbert-base,rai,Hard ($d$: bottom 20%),Mean,0.013633260762392548,0.0018640826307336933,0.02719619286844639
LaBSE,rai,Easy ($d$: top 20%),Worst,0.24228537395964284,0.20041198485304274,0.2790146784850973
potion-base-8M,rai,Hard ($d$: bottom 20%),Worst,0.016289835244229403,-0.004973262032085598,0.024170241730526842
mmBERTscandi-base-embedding,rai,Hard ($d$: bottom 20%),Mean,0.017898328325820192,0.003041099242421741,0.03591449149346721
potion-base-8M,welfare,Easy ($d$: top 20%),Best,0.2784961993254338,0.260970884251503,0.29588982122677343
paraphrase-multilingual-MiniLM-L12-v2,welfare,Easy ($d$: top 20%),Best,0.4902932520259076,0.4753644470885448,0.5035957187367136
mxbai-embed-large-v1,rai,Hard ($d$: bottom 20%),Worst,0.00659613574795154,-0.0028930919589220117,0.014435426316528235
text-embedding-3-small,rai,Hard ($d$: bottom 20%),Mean,0.009187780743476832,-0.0031759269853909337,0.024888447533141813
paraphrase-multilingual-MiniLM-L12-v2,welfare,Hard ($d$: bottom 20%),Best,0.048913949257300866,0.03541827366778481,0.060668904514791296
m2v-dfm-large,rai,Easy ($d$: top 20%),Worst,0.28751056232450645,0.27569196066073975,0.29497147482056907
multilingual-e5-large,rai,Hard ($d$: bottom 20%),Best,0.00913686725413436,-0.0012943235367198435,0.022548923936736343
xlm-roberta-base,rai,Easy ($d$: top 20%),Worst,0.1549427348623775,0.1473142807326363,0.16243900494128108
dfm-sentence-encoder-large,welfare,Hard ($d$: bottom 20%),Mean,0.04074292797550612,0.03220685734552381,0.048991005192119186
M2V_base_output,rai,Hard ($d$: bottom 20%),Mean,0.029794139769685243,0.014480748253985112,0.0454009561053869
multilingual-e5-large,welfare,Easy ($d$: top 20%),Worst,0.36962581668100697,0.354012805685499,0.38058227434749725
snowflake-arctic-embed-l-v2.0,welfare,Hard ($d$: bottom 20%),Mean,0.0012590906932764833,-0.006862342772365252,0.010421231570336214
static-similarity-mrl-multilingual-v1,rai,Easy ($d$: top 20%),Worst,0.1894798950161446,0.1750071418887512,0.1966404027677035
m2v-dfm-large,welfare,Easy ($d$: top 20%),Best,0.37577254340767097,0.35858780361419335,0.38900636165651875
potion-base-8M,rai,Hard ($d$: bottom 20%),Best,0.04877440480193834,0.022354937446497098,0.08207760943842365
Qwen3-Embedding-Scandi-0.6B,welfare,Easy ($d$: top 20%),Mean,0.29058065351545187,0.2837021367586002,0.29699636230839965
text-embedding-3-large,rai,Hard ($d$: bottom 20%),Best,0.02363596505742124,0.016363671830931105,0.029767613124961963
static-similarity-mrl-multilingual-v1,rai,Easy ($d$: top 20%),Mean,0.20944324740559914,0.19287146289534765,0.2242315672519743
text-embedding-ada-002,welfare,Easy ($d$: top 20%),Worst,0.39228968998011593,0.3754049981465637,0.4044164976253879
mxbai-embed-large-v1,rai,Hard ($d$: bottom 20%),Best,0.1372201836027799,0.10028349156118146,0.18006780586589
model2vecdk-stem,rai,Hard ($d$: bottom 20%),Worst,0.018358776236959508,0.005941983897101117,0.026422329170092254
potion-base-4M,welfare,Easy ($d$: top 20%),Worst,0.15853459657563704,0.1437266666796625,0.170694253954192
snowflake-arctic-embed-l-v2.0,rai,Easy ($d$: top 20%),Worst,0.2971555920123531,0.28700278770594406,0.3076425925274995
text-embedding-3-large,rai,Hard ($d$: bottom 20%),Mean,0.00654900220861197,-0.0058386130418128495,0.02009543608430246
multilingual-e5-large-instruct,rai,Easy ($d$: top 20%),Best,0.38799065222383616,0.37581024492416065,0.4218948951944015
bge-m3,welfare,Hard ($d$: bottom 20%),Worst,-0.004534548693265535,-0.025661589454935227,0.009005207669557919
potion-multilingual-128M,rai,Hard ($d$: bottom 20%),Worst,0.011719495511336974,0.005498152310550286,0.01806287467967257
text-embedding-3-small,welfare,Hard ($d$: bottom 20%),Best,0.06667969094601502,0.04878638896860931,0.08183646354005152
text-embedding-3-large,welfare,Easy ($d$: top 20%),Worst,0.3959588738413398,0.37942861259249067,0.41260601336209196
m2v-dfm-large,rai,Easy ($d$: top 20%),Best,0.3266506747511924,0.292689427285451,0.3583276531167164
multilingual-e5-base,rai,Hard ($d$: bottom 20%),Best,0.016065051860311548,0.010133773162694353,0.03287596312603185
mmBERTscandi-base-embedding,rai,Hard ($d$: bottom 20%),Best,0.03405305500463269,0.012588953777262813,0.07840397518592866
multilingual-e5-large-instruct,welfare,Hard ($d$: bottom 20%),Best,0.03296230708356262,0.019152799845451797,0.051110611959668595
EmbeddingGemma-Scandi-300m,rai,Hard ($d$: bottom 20%),Mean,0.005668335041167918,-0.011448163458753203,0.021183036246219138
M2V_base_glove,rai,Easy ($d$: top 20%),Worst,0.006970313703082409,-0.02298365260949031,0.02801604918034447
nb-sbert-base,welfare,Easy ($d$: top 20%),Mean,0.43832372467444486,0.43227006132553597,0.4455595726906208
potion-multilingual-128M,rai,Easy ($d$: top 20%),Mean,0.259822919046722,0.24206997821777534,0.27319870424345916
multilingual-e5-large-instruct,rai,Hard ($d$: bottom 20%),Mean,0.015471696295876308,0.0036194872641854866,0.02634256307562705
xlm-roberta-large,rai,Easy ($d$: top 20%),Best,0.19568762526027164,0.1574105446673441,0.23144706694746267
potion-multilingual-128M,rai,Easy ($d$: top 20%),Best,0.27836555189888623,0.2507181745779376,0.3132624546888548
paraphrase-multilingual-mpnet-base-v2,welfare,Easy ($d$: top 20%),Mean,0.49078724587018413,0.4838476963549304,0.4970355822502859
multilingual-e5-large,welfare,Easy ($d$: top 20%),Mean,0.3848561050292205,0.37732398916636456,0.39175214714934176
M2V_base_output,welfare,Easy ($d$: top 20%),Mean,0.1935192733459074,0.18638854328515478,0.20040458238700193
mxbai-embed-large-v1,welfare,Easy ($d$: top 20%),Best,0.2410365899175657,0.23103572673465375,0.25394725911578603
Qwen3-Embedding-0.6B,rai,Easy ($d$: top 20%),Best,0.21079697783694598,0.17535637918745553,0.256644104470789
dfm-sentence-encoder-large,rai,Easy ($d$: top 20%),Best,0.315866284639112,0.2820349294044987,0.35263150400136695
mxbai-embed-large-v1,rai,Easy ($d$: top 20%),Worst,0.18067211690837534,0.1731003354903592,0.18745016749838792
text-embedding-3-small,rai,Easy ($d$: top 20%),Mean,0.33772387990551567,0.3268892127070232,0.3499844769798942
potion-multilingual-128M,welfare,Hard ($d$: bottom 20%),Mean,0.011321084452443637,0.0027319124880644924,0.019784712495914795
xlm-roberta-base,rai,Easy ($d$: top 20%),Mean,0.17762386699229146,0.16471001210187258,0.19105344158742552
potion-base-4M,rai,Easy ($d$: top 20%),Mean,0.10497260767477384,0.09087843178564546,0.12247680441887457
M2V_base_glove_subword,rai,Easy ($d$: top 20%),Mean,0.11511060326935606,0.09639635836185435,0.13542824348066315
LaBSE,rai,Easy ($d$: top 20%),Best,0.2882371477664219,0.28027303828278766,0.297688124416482
Qwen3-Embedding-0.6B,rai,Easy ($d$: top 20%),Mean,0.16878933349075745,0.15773469007429425,0.18670064291455346
text-embedding-ada-002,welfare,Hard ($d$: bottom 20%),Worst,0.013607861120676835,-0.000244600832281727,0.028732894176401267
paraphrase-multilingual-mpnet-base-v2,welfare,Easy ($d$: top 20%),Worst,0.46303534446197453,0.44590235967929087,0.4785674295647102
multilingual-e5-base,welfare,Hard ($d$: bottom 20%),Mean,0.020919449134387046,0.010464128447647195,0.030022698666376482
paraphrase-multilingual-MiniLM-L12-v2,rai,Easy ($d$: top 20%),Worst,0.3003264135036665,0.2918191268864138,0.3077957889971685
potion-base-2M,welfare,Hard ($d$: bottom 20%),Best,0.0522403596668976,0.03725356587143875,0.07231380107860984
multilingual-e5-large,welfare,Hard ($d$: bottom 20%),Best,0.020257226359447572,0.007839452259574452,0.034112810061221084
paraphrase-multilingual-mpnet-base-v2,rai,Easy ($d$: top 20%),Mean,0.37355802262315607,0.3617253498935645,0.386397853877044
text-embedding-ada-002,rai,Hard ($d$: bottom 20%),Best,0.029195960811466613,0.02256613923675363,0.038524514530799504
nb-sbert-base,welfare,Hard ($d$: bottom 20%),Mean,0.026495081473591635,0.018174343306189705,0.03558795086475855
bge-m3,welfare,Hard ($d$: bottom 20%),Mean,0.01694129003386704,0.007829691306071562,0.024565399266125665
M2V_base_glove_subword,rai,Easy ($d$: top 20%),Best,0.1501331188886327,0.13811055134005434,0.1588045324888739
M2V_base_glove_subword,rai,Hard ($d$: bottom 20%),Best,0.09807293342666279,0.05714957131492554,0.13372416600909962
bge-m3,welfare,Easy ($d$: top 20%),Worst,0.37735792288008346,0.36290171658186243,0.3898417901009555
potion-multilingual-128M,rai,Easy ($d$: top 20%),Worst,0.24611609345757451,0.2281468558865418,0.25547094846376744
M2V_base_glove,welfare,Easy ($d$: top 20%),Worst,-0.054173886418623314,-0.06926840862800744,-0.03712699565393929
Human,rai,Easy ($d$: top 20%),Best,0.96445607548174,0.9558309217372712,0.9819440493124705
nb-sbert-base,rai,Easy ($d$: top 20%),Mean,0.3334499568933992,0.32165899564973366,0.3454532611703472
model2vecdk,welfare,Hard ($d$: bottom 20%),Worst,0.014535935706090665,-0.0010475077339422735,0.026297406676338776
static-similarity-mrl-multilingual-v1,welfare,Easy ($d$: top 20%),Best,0.33202470360457587,0.31943480392457574,0.3475152443371579
EmbeddingGemma-Scandi-300m,rai,Easy ($d$: top 20%),Mean,0.3156420616843438,0.3055060048180819,0.32569075685788207
dfm-sentence-encoder-large,welfare,Hard ($d$: bottom 20%),Best,0.065062536412474,0.04497493838536569,0.08211579566306089
LaBSE,welfare,Easy ($d$: top 20%),Mean,0.40818819610224805,0.40248940038594516,0.41470164092400746
text-embedding-3-large,welfare,Hard ($d$: bottom 20%),Best,0.040410372869611334,0.029512158037434632,0.05441803523922182
potion-base-8M,welfare,Easy ($d$: top 20%),Worst,0.1765091638601659,0.16158145420297898,0.18936301770560207
mxbai-embed-large-v1,welfare,Easy ($d$: top 20%),Worst,0.18470625479086455,0.16181873133463526,0.19919778994310408
model2vecdk-stem,rai,Easy ($d$: top 20%),Mean,0.2858413269282457,0.27521748622963405,0.3008032226834245
LaBSE,rai,Hard ($d$: bottom 20%),Worst,0.013747794367715095,-0.022907647907647925,0.025552338775415465
model2vecdk,rai,Easy ($d$: top 20%),Mean,0.29889706729152465,0.2892848517163127,0.311496305436699
multilingual-e5-base,welfare,Hard ($d$: bottom 20%),Best,0.033561288892087454,0.024407574776272763,0.045287323077446845
mmBERTscandi-base-embedding,rai,Easy ($d$: top 20%),Best,0.3619220467518439,0.327250012212398,0.39989926739926734
snowflake-arctic-embed-l-v2.0,rai,Hard ($d$: bottom 20%),Mean,0.007767691761819711,-0.008774635703730334,0.021884075515156996
model2vecdk,welfare,Hard ($d$: bottom 20%),Mean,0.029525553565054995,0.020144696786825827,0.03826107957935251
multilingual-e5-base,welfare,Easy ($d$: top 20%),Worst,0.33120532903925076,0.3154833665972476,0.3429862257134401
text-embedding-ada-002,rai,Easy ($d$: top 20%),Best,0.3659010285217635,0.32798756035200793,0.4115636960087479
paraphrase-multilingual-mpnet-base-v2,rai,Hard ($d$: bottom 20%),Worst,-0.0004807711545303484,-0.05540993680710717,0.01616351479651243
bge-m3,rai,Hard ($d$: bottom 20%),Worst,-0.003200700608078819,-0.037358406767419756,0.020880137795862067
dfm-sentence-encoder-large,rai,Hard ($d$: bottom 20%),Best,0.06041090872133641,0.04038632787066648,0.09296335037165677
potion-base-2M,rai,Hard ($d$: bottom 20%),Worst,-0.005428595309974067,-0.03987071751777631,0.011994721371739297
static-similarity-mrl-multilingual-v1,welfare,Easy ($d$: top 20%),Mean,0.29860372682059455,0.2884301557941412,0.3058015397599458
text-embedding-3-large,welfare,Hard ($d$: bottom 20%),Worst,0.005233290344264194,-0.01666060553988073,0.01971406150326595
text-embedding-3-large,welfare,Hard ($d$: bottom 20%),Mean,0.024064756154668302,0.016665777612225884,0.03194976346315299
xlm-roberta-large,rai,Hard ($d$: bottom 20%),Mean,0.0335310096934622,0.01705895105668197,0.0491813059583832
paraphrase-multilingual-MiniLM-L12-v2,welfare,Easy ($d$: top 20%),Mean,0.4659661546772882,0.4605650186957838,0.4726114666618208
M2V_base_glove_subword,welfare,Hard ($d$: bottom 20%),Worst,0.021513584840868204,0.010794651017616636,0.030419578311326884
potion-base-2M,welfare,Hard ($d$: bottom 20%),Worst,0.01316930612377304,0.00024194957974404984,0.028024574597375285
model2vecdk-stem,welfare,Hard ($d$: bottom 20%),Mean,0.02741823446570978,0.01800878068199886,0.03446933930251225
paraphrase-multilingual-mpnet-base-v2,rai,Easy ($d$: top 20%),Best,0.39710233790481825,0.36976277475845193,0.43057854295077314
bge-m3,welfare,Easy ($d$: top 20%),Best,0.43044425908399314,0.41761419526083554,0.441183862081331
M2V_base_glove,rai,Hard ($d$: bottom 20%),Best,-0.042151077034441035,-0.05882127782993293,-0.0008259045621394814
paraphrase-multilingual-mpnet-base-v2,rai,Hard ($d$: bottom 20%),Best,0.023670697133586927,0.012784369242466165,0.0469121340962836
text-embedding-3-large,rai,Hard ($d$: bottom 20%),Worst,-0.018232014459732077,-0.05172429358129461,0.01522824526084672
text-embedding-3-large,rai,Easy ($d$: top 20%),Best,0.43236556862323994,0.39009816082714277,0.473389668801576
dfm-sentence-encoder-large,rai,Hard ($d$: bottom 20%),Mean,0.04354820869410412,0.031032909495969957,0.05614288958205698
multilingual-e5-large-instruct,welfare,Easy ($d$: top 20%),Mean,0.45834324117996034,0.4527543206668007,0.4660326536671596
multilingual-e5-large,welfare,Hard ($d$: bottom 20%),Worst,-0.011844371224175174,-0.025036913113584695,0.0021438185634580706
EmbeddingGemma-Scandi-300m,welfare,Easy ($d$: top 20%),Worst,0.4222726685306779,0.4063830390943979,0.4347667686481433
m2v-dfm-large,rai,Easy ($d$: top 20%),Mean,0.3025557096330518,0.2880059305848599,0.3152736389617474
xlm-roberta-large,welfare,Hard ($d$: bottom 20%),Best,0.04911863329935318,0.037158187351612054,0.060180674497771314
static-similarity-mrl-multilingual-v1,welfare,Hard ($d$: bottom 20%),Worst,-0.005676968611456643,-0.017061735734942244,0.0096389985631489
LaBSE,welfare,Hard ($d$: bottom 20%),Worst,0.003400583427957817,-0.011028248814300739,0.022978370208952926
static-similarity-mrl-multilingual-v1,rai,Hard ($d$: bottom 20%),Best,0.013770902737812807,0.005781568519944963,0.050731328976034815
M2V_base_glove,rai,Hard ($d$: bottom 20%),Mean,-0.05873363969651952,-0.0735327733663781,-0.04178673776920161
xlm-roberta-base,rai,Hard ($d$: bottom 20%),Mean,0.02038051695175873,0.0075192575800953525,0.0392515677868577
Qwen3-Embedding-0.6B,welfare,Easy ($d$: top 20%),Mean,0.22825551863823257,0.22120168433708853,0.23703014073540757
EmbeddingGemma-Scandi-300m,rai,Hard ($d$: bottom 20%),Best,0.018677515091194002,0.008050677513748295,0.03173022943801443
M2V_base_glove,welfare,Hard ($d$: bottom 20%),Worst,-0.16140653008198758,-0.17832874182536612,-0.14667826758597796
model2vecdk-stem,welfare,Easy ($d$: top 20%),Mean,0.2953034650758377,0.287534204577591,0.3044867373796372
dfm-sentence-encoder-large,welfare,Easy ($d$: top 20%),Mean,0.30622200220746565,0.2973762620883671,0.31241975321884563
nb-sbert-base,welfare,Hard ($d$: bottom 20%),Best,0.03967406959730552,0.02599637368588655,0.05696793306858854
text-embedding-ada-002,welfare,Easy ($d$: top 20%),Best,0.4845794765700521,0.47056560969922,0.49630713413980276
text-embedding-3-small,welfare,Easy ($d$: top 20%),Mean,0.43965675621947475,0.42972255591559755,0.44482662664562433
mmBERTscandi-base-embedding,rai,Easy ($d$: top 20%),Mean,0.30926095605148773,0.2961169841615173,0.32141330308827165
M2V_base_output,welfare,Easy ($d$: top 20%),Worst,0.15263526187681606,0.13550737400297,0.16893400784999457
paraphrase-multilingual-MiniLM-L12-v2,rai,Hard ($d$: bottom 20%),Worst,0.0018256512279344196,-0.007674310243844013,0.012708243668465657
M2V_base_output,rai,Easy ($d$: top 20%),Best,0.15011969740243036,0.1422619155741469,0.16246585512837325
text-embedding-3-large,rai,Easy ($d$: top 20%),Worst,0.35415166585786706,0.3476906854686342,0.3606907274106239
potion-base-8M,rai,Hard ($d$: bottom 20%),Mean,0.02944171736229237,0.013574764725971708,0.044534845811512874
xlm-roberta-large,welfare,Hard ($d$: bottom 20%),Mean,0.03286282627088889,0.024701507403907697,0.04186443753118163
xlm-roberta-base,welfare,Hard ($d$: bottom 20%),Best,0.03190902533545808,0.02033638000170746,0.04551330085714335
snowflake-arctic-embed-l-v2.0,rai,Hard ($d$: bottom 20%),Worst,-0.00805437594209043,-0.041460641932133876,0.009382835978763751
paraphrase-multilingual-mpnet-base-v2,welfare,Hard ($d$: bottom 20%),Mean,0.015060388301776605,0.007557563899988421,0.02424173403660897
multilingual-e5-large,rai,Easy ($d$: top 20%),Worst,0.27678034219281933,0.26892763634903366,0.2848372906846924
Qwen3-Embedding-Scandi-0.6B,rai,Easy ($d$: top 20%),Best,0.32547776258992456,0.2765668812287645,0.3646220598605198
m2v-dfm-large,welfare,Easy ($d$: top 20%),Worst,0.31888241472946705,0.29882059000602046,0.33526134427975807
multilingual-e5-small,rai,Easy ($d$: top 20%),Best,0.285076167554636,0.2706068915200978,0.313649712734346
text-embedding-ada-002,rai,Easy ($d$: top 20%),Mean,0.33270892614846453,0.32002186495895985,0.34686746828862475
xlm-roberta-large,rai,Hard ($d$: bottom 20%),Worst,0.012458789434836812,0.0022016521525615616,0.020804739552476192
multilingual-e5-small,welfare,Hard ($d$: bottom 20%),Best,0.02593727963259003,0.0111615830140309,0.04028371786648326
m2v-dfm-large,welfare,Easy ($d$: top 20%),Mean,0.3461294036679227,0.3385100124488147,0.3550690361908816
potion-multilingual-128M,rai,Hard ($d$: bottom 20%),Mean,0.028411726391193114,0.017494955618926795,0.04448435823711229
M2V_base_glove_subword,welfare,Easy ($d$: top 20%),Worst,0.14470560820895995,0.13135255392937228,0.1628212763870085
paraphrase-multilingual-MiniLM-L12-v2,rai,Hard ($d$: bottom 20%),Best,0.05087143689608137,0.012138074017753459,0.08704543582094662
Qwen3-Embedding-0.6B,welfare,Easy ($d$: top 20%),Worst,0.15752642331610267,0.14454668509042337,0.17177538757122796
potion-base-8M,welfare,Hard ($d$: bottom 20%),Mean,0.03393082553186488,0.026146257097215027,0.04022455892471599
snowflake-arctic-embed-l-v2.0,welfare,Easy ($d$: top 20%),Worst,0.3909971613970651,0.37686595682727075,0.40496251570153463
text-embedding-3-small,rai,Easy ($d$: top 20%),Best,0.40219581048847014,0.3696475283559251,0.4415400614263037
model2vecdk,welfare,Easy ($d$: top 20%),Worst,0.33011097648158866,0.30933713685416253,0.3495471873363357
bge-m3,rai,Easy ($d$: top 20%),Worst,0.2920164038196851,0.28532135352254495,0.30036232757495435
m2v-dfm-large,welfare,Hard ($d$: bottom 20%),Mean,0.03443513870705839,0.025163941511107405,0.04221212728578712
mxbai-embed-large-v1,welfare,Hard ($d$: bottom 20%),Worst,0.0016655261831743928,-0.014279010642094433,0.017760563437206937
multilingual-e5-small,welfare,Hard ($d$: bottom 20%),Worst,-0.0014290308027677522,-0.015430368179046862,0.007787555580246161
M2V_base_glove_subword,welfare,Hard ($d$: bottom 20%),Best,0.05951570828163266,0.042454035126598524,0.07524036798610476
multilingual-e5-small,welfare,Easy ($d$: top 20%),Best,0.3741671292979414,0.3555068833184315,0.39135423828042265
M2V_base_glove_subword,rai,Hard ($d$: bottom 20%),Mean,0.04348787705022434,0.029241351761389478,0.054550830537472
