model,dataset,difficulty,statistic,auc_mean,ci_lo,ci_hi
EmbeddingGemma-Scandi-300m,welfare,Hard ($d$: bottom 20%),Worst,-0.013142114423392465,-0.03246543005440166,0.0031193567457039654
Human,welfare,Hard ($d$: bottom 20%),Mean,0.5662757201869049,0.47123323209995893,0.687008338954987
paraphrase-multilingual-MiniLM-L12-v2,welfare,Easy ($d$: top 20%),Worst,0.4420842106341276,0.4214681768060222,0.4556263679329086
model2vecdk,rai,Hard ($d$: bottom 20%),Best,0.03307335571175475,0.019282098309230427,0.059758453913592455
potion-base-4M,rai,Hard ($d$: bottom 20%),Best,0.05191865966616072,0.02544491663285256,0.0951438571186508
potion-base-2M,rai,Hard ($d$: bottom 20%),Mean,0.0073489561647144454,-0.00669430936729707,0.02053426827828158
paraphrase-multilingual-mpnet-base-v2,welfare,Hard ($d$: bottom 20%),Worst,-0.015144463630375029,-0.03763873397126783,0.002189516695380016
Qwen3-Embedding-Scandi-0.6B,welfare,Easy ($d$: top 20%),Best,0.3402494549922096,0.3221618839863201,0.3542233692143138
potion-base-4M,rai,Easy ($d$: top 20%),Best,0.14024092538555177,0.1297279166670187,0.14900704766000242
multilingual-e5-large-instruct,rai,Hard ($d$: bottom 20%),Worst,0.0009618921069682695,-0.008748548335962156,0.009209321085137999
EmbeddingGemma-Scandi-300m,welfare,Easy ($d$: top 20%),Best,0.4904435322887437,0.4808293062349958,0.5042356907587023
multilingual-e5-large,rai,Easy ($d$: top 20%),Best,0.31926111824726816,0.29812352238280404,0.3602985350634079
mxbai-embed-large-v1,welfare,Hard ($d$: bottom 20%),Best,0.039284072069535464,0.02470270626693725,0.05477678180422891
LaBSE,rai,Hard ($d$: bottom 20%),Best,0.0389172255977704,0.02307774597614713,0.059081056683134035
Qwen3-Embedding-0.6B,rai,Hard ($d$: bottom 20%),Mean,-0.021668757997470457,-0.03644536679719177,-0.011150219405167234
nb-sbert-base,welfare,Easy ($d$: top 20%),Best,0.4683669330609236,0.45571737863070566,0.4796256654886221
potion-base-4M,rai,Hard ($d$: bottom 20%),Worst,0.021305471917973936,0.008775955200951409,0.03024097023910549
model2vecdk,rai,Hard ($d$: bottom 20%),Worst,0.007088332683478118,-0.022442545791550823,0.025735453077490176
mmBERTscandi-base-embedding,rai,Easy ($d$: top 20%),Worst,0.27852426728930185,0.2713391095876922,0.2846927839556806
