,Rank (Borda),Model,Zero-shot,Active Parameters (B),Total Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Clustering,Retrieval
30,31,[gte-Qwen1.5-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen1.5-7B-instruct),⚠️ NA,6.477,7.099,4096.0,32768.0,,,66.51,,49.3,
31,32,[voyage-3-lite](https://blog.voyageai.com/2024/09/18/voyage-3/),100%,,,512.0,32000.0,58.36,59.0,66.27,59.27,42.22,68.24
32,33,[text-embedding-3-small](https://openai.com/index/new-embedding-models-and-api-updates/),⚠️ NA,,,1536.0,8191.0,58.36,58.74,66.86,60.77,40.82,66.51
33,34,[F2LLM-v2-160M](https://huggingface.co/codefuse-ai/F2LLM-v2-160M),92%,0.062,0.159,640.0,40960.0,57.79,58.35,68.87,61.82,42.18,60.53
34,35,[voyage-3.5 (output_dtype=binary)](https://blog.voyageai.com/2025/05/20/voyage-3-5/),100%,,,1024.0,32000.0,58.4,58.63,63.81,58.81,40.03,71.86
35,36,[voyage-law-2](https://blog.voyageai.com/2024/04/15/domain-specific-embeddings-and-retrieval-legal-edition-voyage-law-2/),100%,,,1024.0,16000.0,,,64.06,60.58,43.5,
36,37,[Solon-embeddings-large-0.1](https://huggingface.co/OrdalieTech/Solon-embeddings-large-0.1),⚠️ NA,0.304,0.56,1024.0,514.0,,,69.71,61.08,40.87,
37,38,[bilingual-embedding-large](https://huggingface.co/Lajavaness/bilingual-embedding-large),100%,0.304,0.56,1024.0,514.0,,,64.83,62.84,41.18,
38,39,[jina-embeddings-v3](https://huggingface.co/jinaai/jina-embeddings-v3),100%,0.316,0.572,1024.0,8194.0,,,64.95,63.19,40.73,
39,40,[Cohere-embed-multilingual-light-v3.0](https://cohere.com/blog/introducing-embed-v3),⚠️ NA,,,384.0,512.0,56.95,57.12,64.37,59.71,41.28,63.12
40,41,[voyage-3](https://blog.voyageai.com/2024/09/18/voyage-3/),100%,,,1024.0,32000.0,58.6,58.83,62.6,57.94,41.17,73.62
41,42,[snowflake-arctic-embed-l-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-l-v2.0),100%,0.312,0.568,1024.0,8192.0,56.6,57.35,67.29,58.87,37.88,65.39
42,43,[multilingual-e5-small](https://huggingface.co/intfloat/multilingual-e5-small),100%,0.022,0.118,384.0,512.0,56.09,57.05,68.54,59.03,38.38,62.26
43,44,[voyage-code-3](https://blog.voyageai.com/2024/12/04/voyage-code-3/),100%,,,1024.0,32000.0,,,67.77,60.9,41.33,
44,45,[bilingual-embedding-base](https://huggingface.co/Lajavaness/bilingual-embedding-base),100%,0.086,0.278,768.0,514.0,,,62.03,60.77,41.04,
45,46,[multilingual-e5-base](https://huggingface.co/intfloat/multilingual-e5-base),100%,0.086,0.278,768.0,514.0,,,61.38,,40.15,63.09
46,47,[voyage-multimodal-3](https://huggingface.co/voyageai/voyage-multimodal-3),100%,,,1024.0,32768.0,,,65.52,58.31,40.0,
47,48,[F2LLM-v2-80M](https://huggingface.co/codefuse-ai/F2LLM-v2-80M),92%,0.032,0.08,320.0,40960.0,55.54,55.89,66.93,60.73,39.41,56.47
48,49,[text-embedding-3-small (embed_dim=512)](https://openai.com/index/new-embedding-models-and-api-updates/),⚠️ NA,,,512.0,8191.0,,,65.38,60.16,41.25,
49,50,[stella_en_1.5B_v5](https://huggingface.co/NovaSearch/stella_en_1.5B_v5),100%,1.307,1.54,8960.0,131072.0,,,70.1,60.48,42.38,
50,51,[KaLM-embedding-multilingual-mini-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-v1),92%,0.358,0.494,896.0,512.0,,,68.0,56.74,40.83,
51,52,[EmbeddingGemma-Scandi-300m](https://huggingface.co/emillykkejensen/EmbeddingGemma-Scandi-300m),100%,0.106,0.308,768.0,2048.0,53.95,53.7,61.6,59.09,39.6,54.52
52,53,[mmBERTscandi-base-embedding](https://huggingface.co/emillykkejensen/Qwen3-Embedding-Scandi-0.6B),100%,0.11,0.307,768.0,8192.0,52.1,50.72,55.2,59.47,42.19,46.05
53,54,[voyage-code-2](https://blog.voyageai.com/2024/01/23/voyage-code-2-elevate-your-code-retrieval/),100%,,,1536.0,16000.0,,,59.94,58.15,43.28,
54,55,[nb-sbert-base](https://huggingface.co/NbAiLab/nb-sbert-base),100%,0.086,0.178,4096.0,75.0,51.91,53.77,72.03,57.53,37.2,48.31
55,56,[bilingual-embedding-small](https://huggingface.co/Lajavaness/bilingual-embedding-small),100%,0.022,0.118,384.0,512.0,,,66.64,57.88,40.95,
56,57,[KaLM-embedding-multilingual-mini-instruct-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1),92%,0.358,0.494,896.0,512.0,,,66.19,56.12,39.92,
57,58,[voyage-large-2](https://blog.voyageai.com/2023/10/29/voyage-embeddings/),100%,,,1536.0,16000.0,53.3,52.93,54.55,54.05,41.09,62.03
58,59,[NV-Embed-v2](https://huggingface.co/nvidia/NV-Embed-v2),100%,7.719,7.85,4096.0,32768.0,,,67.92,,33.0,
59,60,[voyage-2](https://blog.voyageai.com/2023/10/29/voyage-embeddings/),100%,,,1024.0,4000.0,52.17,51.97,54.55,53.22,41.09,59.03
60,61,[arabic-english-sts-matryoshka](https://huggingface.co/omarelshehy/arabic-english-sts-matryoshka),⚠️ NA,0.304,0.56,1024.0,514.0,,,61.4,58.59,37.2,
61,62,[bge-m3-custom-fr](https://huggingface.co/manu/bge-m3-custom-fr),100%,0.312,0.568,1024.0,8194.0,,,70.4,,36.21,
62,63,[NV-Embed-v1](https://huggingface.co/nvidia/NV-Embed-v1),100%,7.719,7.85,4096.0,32768.0,,,60.87,,35.36,
63,64,[jasper_en_vision_language_v1](https://huggingface.co/infgrad/jasper_en_vision_language_v1),100%,1.332,1.565,8960.0,131072.0,,,74.21,,46.75,
64,65,[USER-bge-m3](https://huggingface.co/deepvk/USER-base),100%,0.312,0.359,1024.0,8194.0,,,67.75,,37.62,
65,66,[LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised](https://huggingface.co/McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised),100%,7.022,7.153,4096.0,32768.0,,,,,41.14,
66,67,[paraphrase-multilingual-mpnet-base-v2](https://huggingface.co/sentence-transformers/paraphrase-multilingual-mpnet-base-v2),100%,0.086,0.278,768.0,512.0,51.2,49.35,52.73,58.55,35.73,50.38
67,68,[speed-embedding-7b-instruct](https://huggingface.co/Haon-Chen/speed-embedding-7b-instruct),⚠️ NA,6.98,7.111,,32768.0,,,50.06,57.31,39.64,
68,69,[dfm-sentence-encoder-large](https://huggingface.co/KennethEnevoldsen/dfm-sentence-encoder-large),100%,0.304,0.355,1024.0,512.0,47.83,45.55,50.95,58.92,34.98,37.34
69,70,[LaBSE](https://huggingface.co/sentence-transformers/LaBSE),100%,0.086,0.471,768.0,512.0,48.46,50.29,69.12,54.9,34.9,42.23
70,71,[granite-embedding-278m-multilingual](https://huggingface.co/ibm-granite/granite-embedding-278m-multilingual),100%,0.086,0.278,768.0,512.0,,,66.62,51.87,37.62,
71,72,[gte-multilingual-base](https://huggingface.co/Alibaba-NLP/gte-multilingual-base),100%,0.113,0.305,768.0,8192.0,,,68.66,,39.62,
72,73,[Arabic-labse-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-labse-Matryoshka),⚠️ NA,0.086,0.471,768.0,512.0,,,65.24,57.09,35.47,
73,74,[Arabic-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-all-nli-triplet-Matryoshka),100%,0.086,0.278,768.0,514.0,,,56.94,58.12,33.55,
74,75,[snowflake-arctic-embed-m-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v2.0),100%,0.113,0.305,768.0,8192.0,,,67.51,,34.71,
75,76,[paraphrase-multilingual-MiniLM-L12-v2](https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2),100%,0.022,0.118,384.0,512.0,47.83,46.21,51.04,55.81,34.49,43.51
76,77,[potion-multilingual-128M](https://huggingface.co/minishlab/potion-multilingual-128M),100%,0.0,0.128,256.0,,,,58.26,,36.11,45.12
77,78,[e5-large-v2](https://huggingface.co/intfloat/e5-large-v2),100%,0.304,0.335,1024.0,514.0,,,66.67,51.68,32.89,
78,79,[granite-embedding-107m-multilingual](https://huggingface.co/ibm-granite/granite-embedding-107m-multilingual),100%,0.011,0.107,384.0,512.0,,,64.97,49.82,35.45,
79,80,[Qwen3-Embedding-Scandi-0.6B](https://huggingface.co/emillykkejensen/Qwen3-Embedding-Scandi-0.6B),100%,0.44,0.596,1024.0,32768.0,,,56.89,54.66,,
80,81,[Cohere-embed-english-v3.0](https://cohere.com/blog/introducing-embed-v3),⚠️ NA,,,1024.0,512.0,,,65.2,,35.44,
81,82,[e5-base-v2](https://huggingface.co/intfloat/e5-base-v2),100%,0.086,0.109,768.0,512.0,,,65.55,49.9,32.65,
82,83,[LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse),100%,7.022,7.153,4096.0,32768.0,,,,,35.68,
83,84,[STS-multilingual-mpnet-base-v2](https://huggingface.co/Gameselo/STS-multilingual-mpnet-base-v2),92%,0.086,0.278,768.0,514.0,,,54.1,55.26,30.65,
84,85,[xlm-roberta-large](https://huggingface.co/FacebookAI/xlm-roberta-large),100%,0.304,0.56,1024.0,512.0,36.5,29.24,19.14,55.24,32.5,10.08
85,86,[Arabic-MiniLM-L12-v2-all-nli-triplet](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-MiniLM-L12-v2-all-nli-triplet),100%,0.022,0.118,384.0,512.0,,,52.26,55.59,32.15,
86,87,[mxbai-embed-large-v1](https://huggingface.co/mixedbread-ai/mxbai-embed-large-v1),100%,0.304,0.335,1024.0,512.0,45.25,46.95,60.41,48.49,36.39,42.5
87,88,[mmlw-e5-large](https://huggingface.co/sdadas/mmlw-e5-large),100%,0.304,0.56,1024.0,514.0,,,58.64,49.71,38.19,
88,89,[nomic-embed-text-v1](https://huggingface.co/nomic-ai/nomic-embed-text-v1),100%,,0.137,768.0,8192.0,,,70.77,48.79,34.03,
89,90,[static-similarity-mrl-multilingual-v1](https://huggingface.co/sentence-transformers/static-similarity-mrl-multilingual-v1),100%,0.0,0.108,1024.0,,44.69,47.83,70.79,48.7,26.13,45.69
90,91,[sentence_croissant_alpha_v0.2](https://huggingface.co/manu/sentence_croissant_alpha_v0.2),100%,1.214,1.28,2048.0,2048.0,,,57.01,50.99,35.25,
91,92,[e5-large](https://huggingface.co/intfloat/e5-large),100%,0.304,0.335,1024.0,512.0,,,65.69,49.74,32.22,
92,93,[UAE-Large-V1](https://huggingface.co/WhereIsAI/UAE-Large-V1),100%,0.304,0.335,1024.0,512.0,,,61.78,48.58,36.13,
93,94,[sentence_croissant_alpha_v0.3](https://huggingface.co/manu/sentence_croissant_alpha_v0.3),100%,1.214,1.28,2048.0,2048.0,,,53.08,50.51,35.67,
94,95,[xlm-roberta-base](https://huggingface.co/FacebookAI/xlm-roberta-base),100%,0.086,0.278,768.0,512.0,35.81,30.22,27.53,54.46,32.4,6.47
95,96,[stella_en_400M_v5](https://huggingface.co/NovaSearch/stella_en_400M_v5),100%,,0.435,4096.0,8192.0,,,67.06,,36.37,
96,97,[bge-large-en-v1.5](https://huggingface.co/BAAI/bge-large-en-v1.5),100%,0.304,0.335,1024.0,512.0,,,62.29,48.66,34.83,
97,98,[e5-base](https://huggingface.co/intfloat/e5-base),100%,0.086,0.109,768.0,512.0,,,66.68,49.66,31.56,
98,99,[bge-base-en-v1.5](https://huggingface.co/BAAI/bge-base-en-v1.5),100%,0.086,0.109,768.0,512.0,,,59.14,48.21,33.33,
99,100,[nomic-embed-text-v1-unsupervised](https://huggingface.co/nomic-ai/nomic-embed-text-v1-unsupervised),100%,,0.137,768.0,8192.0,,,64.89,48.35,33.89,
100,101,[nomic-embed-text-v1.5](https://huggingface.co/nomic-ai/nomic-embed-text-v1.5),100%,,0.137,768.0,8192.0,,,69.86,48.37,32.81,
101,102,[stella-base-en-v2](https://huggingface.co/infgrad/stella-base-en-v2),⚠️ NA,0.086,0.109,,512.0,,,63.11,48.32,33.66,
102,103,[sentence_croissant_alpha_v0.4](https://huggingface.co/manu/sentence_croissant_alpha_v0.4),100%,1.214,1.28,2048.0,2048.0,,,49.13,49.74,35.33,
103,104,[dfm-sentence-encoder-medium](https://huggingface.co/KennethEnevoldsen/dfm-sentence-encoder-medium),100%,0.086,0.124,768.0,512.0,40.63,41.52,62.16,51.59,23.68,28.64
104,105,[e5-small-v2](https://huggingface.co/intfloat/e5-small-v2),100%,0.021,0.033,384.0,512.0,,,65.4,49.13,29.02,
105,106,[GIST-Embedding-v0](https://huggingface.co/avsolatorio/GIST-Embedding-v0),92%,0.086,0.109,768.0,512.0,,,58.98,47.81,34.61,
