,Rank (Borda),Model,Zero-shot,Active Parameters (B),Total Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Clustering,Retrieval
165,166,[potion-base-4M](https://huggingface.co/minishlab/potion-base-4M),100%,0.0,0.004,128.0,,,,53.82,46.12,19.44,
166,167,[M2V_base_output](https://huggingface.co/minishlab/M2V_base_output),100%,0.0,0.008,256.0,,,,54.55,45.35,19.47,
167,168,[nb-bert-base](https://huggingface.co/NbAiLab/nb-bert-base),100%,0.086,0.178,768.0,512.0,,,,,,
168,169,[distilrubert-small-cased-conversational](https://huggingface.co/DeepPavlov/distilrubert-small-cased-conversational),100%,0.015,0.107,768.0,512.0,,,46.17,47.33,17.91,
169,170,[M2V_base_glove_subword](https://huggingface.co/minishlab/M2V_base_glove_subword),100%,0.0,0.103,256.0,,,,57.73,46.13,20.83,
170,171,[udever-bloom-3b](https://huggingface.co/izhx/udever-bloom-3b),100%,2.36,3.003,,,,,42.04,,,
171,172,[Arabic-mpnet-base-all-nli-triplet](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-mpnet-base-all-nli-triplet),100%,0.086,0.109,768.0,514.0,,,54.15,45.46,19.26,
172,173,[jina-embedding-s-en-v1](https://huggingface.co/jinaai/jina-embedding-s-en-v1),100%,0.019,0.035,512.0,512.0,,,60.4,,22.99,
173,174,[sbert_large_mt_nlu_ru](https://huggingface.co/ai-forever/sbert_large_mt_nlu_ru),100%,0.304,0.427,1024.0,512.0,,,46.8,43.5,20.39,
174,175,[udever-bloom-1b1](https://huggingface.co/izhx/udever-bloom-1b1),100%,0.68,1.065,,,,,50.75,,,
175,176,[potion-base-2M](https://huggingface.co/minishlab/potion-base-2M),100%,0.0,0.002,64.0,,,,48.72,44.66,19.26,
176,177,[rubert-base-cased](https://huggingface.co/DeepPavlov/rubert-base-cased),100%,1.188,1.28,768.0,512.0,,,40.27,45.5,20.66,
177,178,[KaLM-Embedding-Gemma3-12B-2511](https://huggingface.co/tencent/KaLM-Embedding-Gemma3-12B-2511),82%,10.759,11.766,3840.0,32768.0,,,82.72,,,
178,179,[harrier-oss-v1-27b](https://huggingface.co/microsoft/harrier-oss-v1-27b),89%,25.599,27.009,5376.0,131072.0,,,85.01,,,
179,180,[Octen-Embedding-8B](https://huggingface.co/Octen/Octen-Embedding-8B),100%,6.946,7.567,4096.0,32768.0,,,84.8,,,
180,181,[silma-embeddding-matryoshka-v0.1](https://huggingface.co/silma-ai/silma-embeddding-matryoshka-v0.1),⚠️ NA,0.086,0.135,768.0,512.0,,,51.51,44.3,20.43,
181,182,[llama-embed-nemotron-8b](https://huggingface.co/nvidia/llama-embed-nemotron-8b),100%,6.98,7.505,4096.0,32768.0,,,79.63,,,
182,183,[Marbert-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Marbert-all-nli-triplet-Matryoshka),100%,0.086,0.163,768.0,512.0,,,46.72,45.17,18.65,
183,184,[sbert_large_nlu_ru](https://huggingface.co/ai-forever/sbert_large_nlu_ru),100%,0.304,0.427,1024.0,512.0,,,43.52,42.63,20.47,
184,185,[text-multilingual-embedding-002](https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings),100%,,,768.0,2048.0,,,67.92,,,
185,186,[M2V_base_glove](https://huggingface.co/minishlab/M2V_base_glove),100%,0.0,0.102,256.0,,,,42.84,43.42,19.89,
186,187,[Arabert-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabert-all-nli-triplet-Matryoshka),100%,0.086,0.135,768.0,512.0,,,49.21,44.53,18.82,
187,188,[harrier-oss-v1-0.6b](https://huggingface.co/microsoft/harrier-oss-v1-0.6b),89%,0.44,0.596,1024.0,32768.0,,,81.17,,,
188,189,[jina-embeddings-v2-small-en](https://huggingface.co/jinaai/jina-embeddings-v2-small-en),100%,0.017,0.033,512.0,8192.0,,,49.41,,18.03,
189,190,[BidirLM-Omni-2.5B-Embedding](https://huggingface.co/BidirLM/BidirLM-Omni-2.5B-Embedding),100%,2.13,2.445,2048.0,32768.0,,,74.91,,,
190,191,[jina-embeddings-v5-omni-nano](https://huggingface.co/jinaai/jina-embeddings-v5-omni-nano),⚠️ NA,0.887,0.986,768.0,8192.0,,,85.96,,,
191,191,[jina-embeddings-v5-text-nano](https://huggingface.co/jinaai/jina-embeddings-v5-text-nano),⚠️ NA,0.113,0.212,768.0,8192.0,,,85.96,,,
192,193,[cai-lunaris-text-embeddings](https://huggingface.co/consciousAI/cai-lunaris-text-embeddings),⚠️ NA,0.304,0.335,1024.0,512.0,,,42.71,43.32,21.06,
193,194,[embeddinggemma-300m](https://ai.google.dev/gemma/docs/embeddinggemma/model_card),100%,0.106,0.308,768.0,2048.0,,,62.71,,,
194,195,[sentence-bert-swedish-cased](https://huggingface.co/KBLab/sentence-bert-swedish-cased),⚠️ NA,0.086,0.125,768.0,384.0,,,,,,
195,196,[jina-embeddings-v5-text-small](https://huggingface.co/jinaai/jina-embeddings-v5-text-small),⚠️ NA,0.44,0.596,1024.0,32768.0,,,86.03,,,
196,196,[jina-embeddings-v5-omni-small](https://huggingface.co/jinaai/jina-embeddings-v5-omni-small),⚠️ NA,1.471,1.626,1024.0,32768.0,,,86.03,,,
197,198,[inf-retriever-v1](https://huggingface.co/infly/inf-retriever-v1),100%,6.526,7.069,3584.0,32768.0,,,,,,70.86
198,199,[BidirLM-1.7B-Embedding](https://huggingface.co/BidirLM/BidirLM-1.7B-Embedding),100%,1.409,1.721,2048.0,512.0,,,72.45,,,
199,200,[harrier-oss-v1-270m](https://huggingface.co/microsoft/harrier-oss-v1-270m),89%,0.1,0.268,640.0,32768.0,,,80.11,,,
200,201,baseline-random-encoder,100%,,,32.0,,18.9,12.76,1.73,32.72,15.78,0.83
201,202,[BidirLM-1B-Embedding](https://huggingface.co/BidirLM/BidirLM-1B-Embedding),100%,0.698,1.0,1152.0,512.0,,,63.65,,,
202,203,[ICT-TIME-and-Querit-embedding-v1](https://huggingface.co/ICT-TIME-and-Querit/ICT-TIME-and-Querit-embedding-v1),100%,3.633,4.022,2560.0,32768.0,,,70.59,,,
203,204,[Seed1.6-embedding-1215](https://console.volcengine.com/ark/region:ark+cn-beijing/model/detail?Id=doubao-embedding-vision),96%,,,2048.0,32768.0,,,80.52,,,
204,205,[text-embedding-ada-002](https://openai.com/index/new-and-improved-embedding-model/),⚠️ NA,,,1536.0,8191.0,,,66.67,,,
205,206,[BOOM_4B_v1](https://huggingface.co/ICT-TIME-and-Querit/BOOM_4B_v1),100%,3.633,4.022,2560.0,32768.0,,,73.87,,,
206,207,[ternary-weight-embedding](https://huggingface.co/malenia1/ternary-weight-embedding),⚠️ NA,,0.099,1024.0,512.0,,,51.03,,17.08,
207,208,[inf-retriever-v1-1.5b](https://huggingface.co/infly/inf-retriever-v1-1.5b),100%,1.31,1.543,1536.0,32768.0,,,,,,65.97
208,209,[jina-embeddings-v2-base-en](https://huggingface.co/jinaai/jina-embeddings-v2-base-en),100%,0.114,0.137,768.0,8192.0,,,4.31,,14.88,
209,210,[BidirLM-0.6B-Embedding](https://huggingface.co/BidirLM/BidirLM-0.6B-Embedding),100%,0.44,0.596,1024.0,512.0,,,63.9,,,
210,211,[zembed-1](https://huggingface.co/zeroentropy/zembed-1),⚠️ NA,3.634,4.022,2560.0,32768.0,,,60.09,,,
211,212,[udever-bloom-560m](https://huggingface.co/izhx/udever-bloom-560m),100%,0.302,0.559,,,,,36.91,,,
212,213,[baseline-bm25s](https://github.com/xhluca/bm25s),⚠️ NA,,,,,,,,,,54.19
213,214,[BidirLM-270M-Embedding](https://huggingface.co/BidirLM/BidirLM-270M-Embedding),100%,0.1,0.268,640.0,512.0,,,52.86,,,
214,215,[Euler-Legal-Embedding-V1](https://huggingface.co/Mira190/Euler-Legal-Embedding-V1),100%,6.946,7.567,4096.0,1536.0,,,76.59,,,
215,216,[granite-embedding-311m-multilingual-r2](https://huggingface.co/ibm-granite/granite-embedding-311m-multilingual-r2),100%,0.11,0.312,768.0,8192.0,,,63.98,,,
216,217,[lodestone-base-4096-v1](https://huggingface.co/Hum-Works/lodestone-base-4096-v1),100%,0.114,0.137,768.0,,,,24.96,,,
217,218,[granite-embedding-97m-multilingual-r2](https://huggingface.co/ibm-granite/granite-embedding-97m-multilingual-r2),100%,0.028,0.097,384.0,8192.0,,,57.4,,,
218,219,[QZhou-Embedding](https://huggingface.co/Kingsoft-LLM/QZhou-Embedding),92%,6.526,7.071,3584.0,8192.0,,,,,,
219,220,[Titan-text-embeddings-v2](https://huggingface.co/amazon/Titan-text-embeddings-v2),⚠️ NA,,,,,,,,,,
220,221,[gtr-t5-xl](https://huggingface.co/sentence-transformers/gtr-t5-xl),100%,1.209,1.242,768.0,512.0,,,,,,
221,222,[sentence-t5-xl](https://huggingface.co/sentence-transformers/sentence-t5-xl),100%,1.209,1.242,768.0,512.0,,,,,,
222,223,[voyage-3-large](https://blog.voyageai.com/2025/01/07/voyage-3-large/),100%,,,1024.0,32000.0,,,,,,
223,224,[geevec-embeddings-1.0](https://www.geevec.com/documentation),⚠️ NA,,,4096.0,32768.0,,,,,,
224,225,[jina-embeddings-v4](https://huggingface.co/jinaai/jina-embeddings-v4),100%,3.624,3.935,2048.0,32768.0,,,,,,
225,226,[geevec-embeddings-1.0-lite](https://huggingface.co/geevec-ai/geevec-embeddings-1.0-lite),⚠️ NA,0.349,0.366,4096.0,32768.0,,,,,,
226,227,[pplx-embed-v1-4b](https://huggingface.co/perplexity-ai/pplx-embed-v1-4b),100%,3.611,4.0,2560.0,32768.0,,,,,,
227,228,[pplx-embed-v1-0.6b](https://huggingface.co/perplexity-ai/pplx-embed-v1-0.6b),100%,0.44,0.596,1024.0,32768.0,,,,,,
228,229,[multi-qa-MiniLM-L6-cos-v1](https://huggingface.co/sentence-transformers/multi-qa-MiniLM-L6-cos-v1),100%,0.011,0.023,384.0,512.0,,,,,,
229,230,[b1ade-embed](https://huggingface.co/w601sxs/b1ade-embed),100%,0.304,0.335,1024.0,4096.0,,,,,,
